t mag emag fid
2458370.6856481 19.69988250732422 0.14186522364616394 1
2458370.6994329 19.34404754638672 0.10817673802375793 1
2458370.7153125 18.799163818359375 0.08434008806943893 1
2458370.7612616 18.35675048828125 0.0817452147603035 2
2458371.6369444 16.833454132080078 0.03415457904338837 2
2458371.6378819 16.806446075439453 0.03893120959401131 2
2458371.6514005 16.801807403564453 0.03474027290940285 2
2458371.6838426 16.784690856933594 0.044471047818660736 2
2458371.6959259 16.306243896484375 0.02466074749827385 1
2458371.6968634 16.294658660888672 0.02948889136314392 1
2458371.7138773 16.289857864379883 0.03257753327488899 1
2458371.7359144 16.283470153808594 0.030570445582270622 1
2458372.6396528 16.481853485107422 0.04145985096693039 2
2458372.6586574 16.4877872467041 0.056965626776218414 2
2458372.6861574 16.46858024597168 0.04371923953294754 2
2458372.7134144 15.993400573730469 0.02938239462673664 1
2458372.7371528 15.99128246307373 0.017665158957242966 1
2458373.6276389 16.356136322021484 0.029062386602163315 2
2458373.6627662 16.3505859375 0.032712433487176895 2
2458373.6850926 16.341747283935547 0.029930122196674347 2
2458373.6984028 15.914621353149414 0.023815803229808807 1
2458373.718912 15.901180267333984 0.031534429639577866 1
2458373.7361111 15.909703254699707 0.022364100441336632 1
2458374.6316667 16.295881271362305 0.038632333278656006 2
2458374.6429167 16.322792053222656 0.026233522221446037 2
2458374.6845949 16.293149948120117 0.04272465407848358 2
2458374.6495486 16.296571731567383 0.03401365131139755 2
2458374.7041204 15.930142402648926 0.023810578510165215 1
2458374.6994907 15.913585662841797 0.03343519568443298 1
2458374.726412 15.919407844543457 0.02767978422343731 1
2458374.7428935 15.913890838623047 0.031291402876377106 1
2458375.675787 16.33180809020996 0.037420544773340225 2
2458375.7144907 15.971343994140625 0.037010349333286285 1
2458375.7381366 15.988219261169434 0.025537244975566864 1
2458376.6200231 16.373374938964844 0.038776129484176636 2
2458376.6626389 16.366897583007812 0.03612210974097252 2
2458376.6739005 16.356752395629883 0.038748160004615784 2
2458376.7272917 16.103153228759766 0.03068443387746811 1
2458376.7423727 16.090280532836914 0.02815340645611286 1
2458377.6301852 16.408567428588867 0.030651815235614777 2
2458377.6513542 16.412824630737305 0.03472276031970978 2
2458377.6639699 16.40069007873535 0.03308658301830292 2
2458377.6761921 16.408550262451172 0.03469632938504219 2
2458377.6936111 16.21155548095703 0.03415905311703682 1
2458377.7038194 16.20138168334961 0.03247539699077606 1
2458377.7165509 16.20225715637207 0.03567792847752571 1
2458377.7458681 16.22081184387207 0.03087756037712097 1
2458378.616412 16.448814392089844 0.037034887820482254 2
2458378.6437384 16.456466674804688 0.04723076522350311 2
2458378.6650579 16.328794479370117 0.034136272966861725 1
2458378.6844444 16.322641372680664 0.03177500143647194 1
2458378.7039005 16.32220458984375 0.031725674867630005 1
2458378.7158333 16.47026824951172 0.03306898474693298 2
2458379.662338 16.440343856811523 0.0352303571999073 1
2458379.6823843 16.43342399597168 0.030630573630332947 1
2458379.6977431 16.435874938964844 0.02743268758058548 1
2458379.7176273 16.50874900817871 0.03677082806825638 2
2458379.7410069 16.515195846557617 0.041132498532533646 2
2458379.7578009 16.519960403442383 0.03295031562447548 2
2458380.621412 16.62589454650879 0.041617557406425476 1
2458380.6251042 16.65789222717285 0.04249044135212898 1
2458380.6778704 16.564401626586914 0.03335651755332947 1
2458381.6238773 16.57737159729004 0.04355299100279808 2
2458381.6289236 16.594348907470703 0.03966599702835083 2
2458381.6590394 16.593177795410156 0.03620600327849388 2
2458381.68375 16.691755294799805 0.035984303802251816 1
2458381.7053588 16.6861572265625 0.052051231265068054 1
2458381.7122454 16.70673370361328 0.038598135113716125 1
