date,jdobs,filter,absmag,magpsf,sigmamagpsf,limmag,instrument,reducedby,refsys,issub 
"2018 Aug 10",2458340.8270,"g", 99.0, 99.0,99.0, 19.54,"P48+ZTF","None","None",True
"2018 Aug 13",2458343.6600,"r", 99.0, 99.0,99.0, 20.69,"P48+ZTF","None","None",True
"2018 Aug 13",2458343.6798,"g", 99.0, 99.0,99.0, 20.71,"P48+ZTF","None","None",True
"2018 Aug 16",2458346.6564,"g", 99.0, 99.0,99.0, 20.52,"P48+ZTF","None","None",True
"2018 Aug 16",2458346.6796,"r", 99.0, 99.0,99.0, 20.66,"P48+ZTF","None","None",True
"2018 Aug 19",2458349.6606,"g", 99.0, 99.0,99.0, 20.13,"P48+ZTF","None","None",True
"2018 Aug 19",2458349.6615,"g", 99.0, 99.0,99.0, 20.21,"P48+ZTF","None","None",True
"2018 Aug 19",2458349.6710,"g", 99.0, 99.0,99.0, 20.22,"P48+ZTF","None","None",True
"2018 Aug 19",2458349.6923,"g", 99.0, 99.0,99.0, 20.28,"P48+ZTF","None","None",True
"2018 Aug 19",2458349.7346,"r", 99.0, 99.0,99.0, 20.22,"P48+ZTF","None","None",True
"2018 Aug 19",2458349.7355,"r", 99.0, 99.0,99.0, 20.23,"P48+ZTF","None","None",True
"2018 Aug 19",2458349.7568,"r", 99.0, 99.0,99.0, 20.13,"P48+ZTF","None","None",True
"2018 Aug 19",2458349.7755,"r", 99.0, 99.0,99.0, 20.15,"P48+ZTF","None","None",True
"2018 Aug 20",2458350.6545,"r", 99.0, 99.0,99.0, 20.36,"P48+ZTF","None","None",True
"2018 Aug 20",2458350.6823,"r", 99.0, 99.0,99.0, 20.37,"P48+ZTF","None","None",True
"2018 Aug 20",2458350.7062,"r", 99.0, 99.0,99.0, 20.36,"P48+ZTF","None","None",True
"2018 Aug 20",2458350.7355,"g", 99.0, 99.0,99.0, 20.16,"P48+ZTF","None","None",True
"2018 Aug 20",2458350.7666,"g", 99.0, 99.0,99.0, 20.11,"P48+ZTF","None","None",True
"2018 Aug 20",2458350.7790,"g", 99.0, 99.0,99.0, 20.04,"P48+ZTF","None","None",True
"2018 Aug 21",2458351.6620,"r", 99.0, 99.0,99.0, 20.37,"P48+ZTF","None","None",True
"2018 Aug 21",2458351.6764,"r", 99.0, 99.0,99.0, 20.37,"P48+ZTF","None","None",True
"2018 Aug 21",2458351.6906,"r", 99.0, 99.0,99.0, 20.39,"P48+ZTF","None","None",True
"2018 Aug 21",2458351.7345,"g", 99.0, 99.0,99.0, 20.03,"P48+ZTF","None","None",True
"2018 Aug 21",2458351.7675,"g", 99.0, 99.0,99.0, 20.00,"P48+ZTF","None","None",True
"2018 Aug 21",2458351.7856,"g", 99.0, 99.0,99.0, 19.84,"P48+ZTF","None","None",True
"2018 Aug 22",2458352.6598,"g", 99.0, 99.0,99.0, 19.68,"P48+ZTF","None","None",True
"2018 Aug 22",2458352.6608,"g", 99.0, 99.0,99.0, 19.78,"P48+ZTF","None","None",True
"2018 Aug 22",2458352.6789,"g", 99.0, 99.0,99.0, 19.70,"P48+ZTF","None","None",True
"2018 Aug 22",2458352.7057,"g", 99.0, 99.0,99.0, 19.96,"P48+ZTF","None","None",True
"2018 Aug 22",2458352.7138,"r", 99.0, 99.0,99.0, 20.06,"P48+ZTF","None","None",True
"2018 Aug 22",2458352.7359,"r", 99.0, 99.0,99.0, 20.06,"P48+ZTF","None","None",True
"2018 Aug 22",2458352.7443,"r", 99.0, 99.0,99.0, 20.06,"P48+ZTF","None","None",True
"2018 Aug 22",2458352.7561,"r", 99.0, 99.0,99.0, 20.07,"P48+ZTF","None","None",True
"2018 Aug 23",2458353.6612,"r", 99.0, 99.0,99.0, 20.16,"P48+ZTF","None","None",True
"2018 Aug 23",2458353.6802,"r", 99.0, 99.0,99.0, 20.13,"P48+ZTF","None","None",True
"2018 Aug 23",2458353.6953,"r", 99.0, 99.0,99.0, 20.28,"P48+ZTF","None","None",True
"2018 Aug 23",2458353.7450,"r", 99.0, 99.0,99.0, 20.18,"P48+ZTF","None","None",True
"2018 Aug 23",2458353.7553,"r", 99.0, 99.0,99.0, 20.16,"P48+ZTF","None","None",True
"2018 Aug 23",2458353.7979,"r", 99.0, 99.0,99.0, 19.97,"P48+ZTF","None","None",True
"2018 Aug 24",2458354.6863,"r", 99.0, 99.0,99.0, 20.05,"P48+ZTF","None","None",True
"2018 Aug 24",2458354.6932,"r", 99.0, 99.0,99.0, 19.99,"P48+ZTF","None","None",True
"2018 Aug 24",2458354.7261,"r", 99.0, 99.0,99.0, 20.02,"P48+ZTF","None","None",True
"2018 Aug 24",2458354.7472,"r", 99.0, 99.0,99.0, 19.93,"P48+ZTF","None","None",True
"2018 Aug 25",2458355.7490,"r", 99.0, 99.0,99.0, 20.00,"P48+ZTF","None","None",True
"2018 Aug 25",2458355.7543,"r", 99.0, 99.0,99.0, 20.01,"P48+ZTF","None","None",True
"2018 Aug 26",2458356.7153,"r", 99.0, 99.0,99.0, 19.72,"P48+ZTF","None","None",True
"2018 Aug 26",2458356.7238,"r", 99.0, 99.0,99.0, 19.83,"P48+ZTF","None","None",True
"2018 Aug 26",2458356.7461,"r", 99.0, 99.0,99.0, 19.85,"P48+ZTF","None","None",True
"2018 Aug 26",2458356.7554,"r", 99.0, 99.0,99.0, 19.88,"P48+ZTF","None","None",True
"2018 Aug 27",2458357.6830,"r", 99.0, 99.0,99.0, 19.75,"P48+ZTF","None","None",True
