Instrument JD Filter Mag eMag
P48+ZTF 2458340.827 g 99.0 99.0
P48+ZTF 2458343.66 r 99.0 99.0
P48+ZTF 2458343.6798 g 99.0 99.0
P48+ZTF 2458346.6564 g 99.0 99.0
P48+ZTF 2458346.6796 r 99.0 99.0
P48+ZTF 2458349.6606 g 99.0 99.0
P48+ZTF 2458349.6615 g 99.0 99.0
P48+ZTF 2458349.671 g 99.0 99.0
P48+ZTF 2458349.6923 g 99.0 99.0
P48+ZTF 2458349.7346 r 99.0 99.0
P48+ZTF 2458349.7355 r 99.0 99.0
P48+ZTF 2458349.7568 r 99.0 99.0
P48+ZTF 2458349.7755 r 99.0 99.0
P48+ZTF 2458350.6545 r 99.0 99.0
P48+ZTF 2458350.6823 r 99.0 99.0
P48+ZTF 2458350.7062 r 99.0 99.0
P48+ZTF 2458350.7355 g 99.0 99.0
P48+ZTF 2458350.7666 g 99.0 99.0
P48+ZTF 2458350.779 g 99.0 99.0
P48+ZTF 2458351.662 r 99.0 99.0
P48+ZTF 2458351.6764 r 99.0 99.0
P48+ZTF 2458351.6906 r 99.0 99.0
P48+ZTF 2458351.7345 g 99.0 99.0
P48+ZTF 2458351.7675 g 99.0 99.0
P48+ZTF 2458351.7856 g 99.0 99.0
P48+ZTF 2458352.6598 g 99.0 99.0
P48+ZTF 2458352.6608 g 99.0 99.0
P48+ZTF 2458352.6789 g 99.0 99.0
P48+ZTF 2458352.7057 g 99.0 99.0
P48+ZTF 2458352.7138 r 99.0 99.0
P48+ZTF 2458352.7359 r 99.0 99.0
P48+ZTF 2458352.7443 r 99.0 99.0
P48+ZTF 2458352.7561 r 99.0 99.0
P48+ZTF 2458353.6612 r 99.0 99.0
P48+ZTF 2458353.6802 r 99.0 99.0
P48+ZTF 2458353.6953 r 99.0 99.0
P48+ZTF 2458353.745 r 99.0 99.0
P48+ZTF 2458353.7553 r 99.0 99.0
P48+ZTF 2458353.7979 r 99.0 99.0
P48+ZTF 2458354.6863 r 99.0 99.0
P48+ZTF 2458354.6932 r 99.0 99.0
P48+ZTF 2458354.7261 r 99.0 99.0
P48+ZTF 2458354.7472 r 99.0 99.0
P48+ZTF 2458355.749 r 99.0 99.0
P48+ZTF 2458355.7543 r 99.0 99.0
P48+ZTF 2458356.7153 r 99.0 99.0
P48+ZTF 2458356.7238 r 99.0 99.0
P48+ZTF 2458356.7461 r 99.0 99.0
P48+ZTF 2458356.7554 r 99.0 99.0
P48+ZTF 2458357.683 r 99.0 99.0
P48+ZTF 2458357.7426 r 99.0 99.0
P48+ZTF 2458357.7649 r 99.0 99.0
P48+ZTF 2458357.7845 r 99.0 99.0
P48+ZTF 2458358.7016 r 99.0 99.0
P48+ZTF 2458358.7249 r 99.0 99.0
P48+ZTF 2458358.7416 r 99.0 99.0
P48+ZTF 2458359.7142 r 99.0 99.0
P48+ZTF 2458359.7184 r 99.0 99.0
P48+ZTF 2458359.7455 r 99.0 99.0
P48+ZTF 2458359.7683 r 99.0 99.0
P48+ZTF 2458360.6423 g 99.0 99.0
P48+ZTF 2458360.6569 g 99.0 99.0
P48+ZTF 2458360.7256 r 99.0 99.0
P48+ZTF 2458360.7468 r 99.0 99.0
P48+ZTF 2458360.7647 r 99.0 99.0
P48+ZTF 2458361.6461 r 99.0 99.0
P48+ZTF 2458361.6666 g 99.0 99.0
P48+ZTF 2458361.6696 g 99.0 99.0
P48+ZTF 2458361.6971 g 99.0 99.0
P48+ZTF 2458361.7454 r 99.0 99.0
P48+ZTF 2458361.7889 r 99.0 99.0
P48+ZTF 2458362.6376 r 99.0 99.0
P48+ZTF 2458362.6563 r 99.0 99.0
P48+ZTF 2458362.6572 r 99.0 99.0
P48+ZTF 2458362.6739 r 99.0 99.0
P48+ZTF 2458362.7012 g 99.0 99.0
P48+ZTF 2458362.7021 g 99.0 99.0
P48+ZTF 2458362.7139 g 99.0 99.0
P48+ZTF 2458362.7357 g 99.0 99.0
P48+ZTF 2458363.6703 g 99.0 99.0
P48+ZTF 2458363.7045 g 99.0 99.0
P48+ZTF 2458363.7188 r 99.0 99.0
P48+ZTF 2458363.7389 r 99.0 99.0
P48+ZTF 2458363.7567 r 99.0 99.0
P48+ZTF 2458364.6421 r 99.0 99.0
P48+ZTF 2458364.658 r 99.0 99.0
P48+ZTF 2458364.6741 r 99.0 99.0
P48+ZTF 2458364.7015 g 99.0 99.0
P48+ZTF 2458364.716 g 99.0 99.0
P48+ZTF 2458364.7373 g 99.0 99.0
P48+ZTF 2458365.6352 r 99.0 99.0
P48+ZTF 2458365.6579 r 99.0 99.0
P48+ZTF 2458365.6588 r 99.0 99.0
P48+ZTF 2458365.6777 r 99.0 99.0
P48+ZTF 2458365.7212 g 99.0 99.0
P48+ZTF 2458365.7231 g 99.0 99.0
P48+ZTF 2458365.7334 g 99.0 99.0
P48+ZTF 2458365.7573 g 99.0 99.0
P48+ZTF 2458366.6983 g 99.0 99.0
P48+ZTF 2458366.7131 g 99.0 99.0
P48+ZTF 2458366.7357 g 99.0 99.0
P48+ZTF 2458367.6494 r 99.0 99.0
P48+ZTF 2458367.6762 r 99.0 99.0
P48+ZTF 2458367.7062 r 99.0 99.0
P48+ZTF 2458367.7173 g 99.0 99.0
P48+ZTF 2458367.7439 g 99.0 99.0
P48+ZTF 2458367.7617 g 99.0 99.0
P48+ZTF 2458368.6362 r 99.0 99.0
P48+ZTF 2458368.6512 r 99.0 99.0
P48+ZTF 2458368.6619 r 99.0 99.0
P48+ZTF 2458368.6751 r 99.0 99.0
P48+ZTF 2458368.6972 g 99.0 99.0
P48+ZTF 2458368.724 g 99.0 99.0
P48+ZTF 2458368.7263 g 99.0 99.0
P48+ZTF 2458368.735 g 99.0 99.0
P48+ZTF 2458369.6411 r 99.0 99.0
P48+ZTF 2458369.6491 r 99.0 99.0
P48+ZTF 2458369.6759 r 99.0 99.0
P48+ZTF 2458369.7188 g 99.0 99.0
P48+ZTF 2458369.7448 g 99.0 99.0
P48+ZTF 2458369.7541 g 99.0 99.0
P48+ZTF 2458370.6408 r 99.0 99.0
P48+ZTF 2458370.6634 r 20.48 0.26
P48+ZTF 2458370.6856 g 19.7 0.14
P48+ZTF 2458370.6994 g 19.34 0.11
P48+ZTF 2458370.7153 g 18.8 0.08
P48+ZTF 2458370.7612 r 18.36 0.08
P48+ZTF 2458370.7612 r 18.36 0.08
P60+SEDM 2458371.6295 r 16.78 0.01
P60+SEDM 2458371.6323 g 16.39 0.02
P60+SEDM 2458371.6351 i 17.01 0.01
P48+ZTF 2458371.6369 r 16.83 0.03
P48+ZTF 2458371.6378 r 16.81 0.04
P48+ZTF 2458371.6378 r 16.81 0.04
P60+SEDM 2458371.6392 u 15.98 0.02
P60+SEDM 2458371.642 r 16.77 0.01
P60+SEDM 2458371.6448 g 16.37 0.02
P60+SEDM 2458371.6476 i 16.97 0.01
P48+ZTF 2458371.6514 r 16.8 0.03
P60+SEDM 2458371.6517 u 15.98 0.02
P48+ZTF 2458371.6838 r 16.78 0.04
P48+ZTF 2458371.6959 g 16.31 0.02
P48+ZTF 2458371.6968 g 16.29 0.03
P48+ZTF 2458371.6968 g 16.29 0.03
P48+ZTF 2458371.7138 g 16.29 0.03
P48+ZTF 2458371.7138 g 16.29 0.03
P48+ZTF 2458371.7359 g 16.28 0.03
P48+ZTF 2458372.6396 r 16.48 0.04
P48+ZTF 2458372.6396 r 16.48 0.04
P48+ZTF 2458372.6586 r 16.49 0.06
P48+ZTF 2458372.6586 r 16.49 0.06
P48+ZTF 2458372.6861 r 16.47 0.04
P48+ZTF 2458372.6861 r 16.47 0.04
P48+ZTF 2458372.7134 g 15.99 0.03
P48+ZTF 2458372.7371 g 15.99 0.02
P48+ZTF 2458372.7371 g 15.99 0.02
P48+ZTF 2458373.6276 r 16.36 0.03
P60+SEDM 2458373.6447 r 16.32 0.01
P60+SEDM 2458373.6464 g 15.99 0.01
P60+SEDM 2458373.6481 i 16.55 0.01
P60+SEDM 2458373.6498 u 15.9 0.02
P48+ZTF 2458373.6627 r 16.35 0.03
P48+ZTF 2458373.6627 r 16.35 0.03
P48+ZTF 2458373.685 r 16.34 0.03
P48+ZTF 2458373.685 r 16.34 0.03
P48+ZTF 2458373.6984 g 15.91 0.02
P48+ZTF 2458373.7189 g 15.9 0.03
P48+ZTF 2458373.736 g 15.91 0.02
P48+ZTF 2458374.6316 r 16.3 0.04
P48+ZTF 2458374.6316 r 16.3 0.04
P48+ZTF 2458374.6429 r 16.32 0.03
P48+ZTF 2458374.6495 r 16.3 0.03
P60+SEDM 2458374.6551 r 16.29 0.01
P60+SEDM 2458374.6569 g 16.03 0.01
P60+SEDM 2458374.6586 i 16.45 0.01
P60+SEDM 2458374.6603 u 15.92 0.03
P48+ZTF 2458374.6845 r 16.29 0.04
P48+ZTF 2458374.6845 r 16.29 0.04
P48+ZTF 2458374.6994 g 15.91 0.03
P48+ZTF 2458374.6994 g 15.91 0.03
P48+ZTF 2458374.7041 g 15.93 0.02
P48+ZTF 2458374.7264 g 15.92 0.03
P48+ZTF 2458374.7428 g 15.91 0.03
P48+ZTF 2458374.7428 g 15.91 0.03
P48+ZTF 2458375.6206 r 99.0 99.0
P60+SEDM 2458375.6247 r 16.31 0.01
P60+SEDM 2458375.6265 g 16.07 0.01
P60+SEDM 2458375.6282 i 16.43 0.01
P60+SEDM 2458375.6299 u 15.98 0.03
P48+ZTF 2458375.6757 r 16.33 0.04
P48+ZTF 2458375.6757 r 16.33 0.04
P48+ZTF 2458375.7144 g 15.97 0.04
P48+ZTF 2458375.7144 g 15.97 0.04
P48+ZTF 2458375.7381 g 15.99 0.03
P48+ZTF 2458376.62 r 16.37 0.04
P60+SEDM 2458376.6623 r 16.37 0.01
P48+ZTF 2458376.6626 r 16.37 0.04
P60+SEDM 2458376.664 g 16.16 0.02
P60+SEDM 2458376.6657 i 16.44 0.01
P60+SEDM 2458376.6674 u 16.09 0.03
P48+ZTF 2458376.6739 r 16.36 0.04
P48+ZTF 2458376.7272 g 16.1 0.03
P48+ZTF 2458376.7272 g 16.1 0.03
P48+ZTF 2458376.7423 g 16.09 0.03
P48+ZTF 2458376.7423 g 16.09 0.03
P60+SEDM 2458377.6186 r 16.4 0.01
P60+SEDM 2458377.6204 g 16.27 0.02
P60+SEDM 2458377.6221 i 16.51 0.01
P60+SEDM 2458377.6238 u 16.29 0.01
P48+ZTF 2458377.6301 r 16.41 0.03
P48+ZTF 2458377.6301 r 16.41 0.03
P48+ZTF 2458377.6513 r 16.41 0.03
P48+ZTF 2458377.6639 r 16.4 0.03
P48+ZTF 2458377.6639 r 16.4 0.03
P48+ZTF 2458377.6761 r 16.41 0.03
P48+ZTF 2458377.6761 r 16.41 0.03
P48+ZTF 2458377.6935 g 16.21 0.03
P48+ZTF 2458377.7038 g 16.2 0.03
P48+ZTF 2458377.7165 g 16.2 0.04
P48+ZTF 2458377.7165 g 16.2 0.04
P48+ZTF 2458377.7458 g 16.22 0.03
P48+ZTF 2458377.7458 g 16.22 0.03
P48+ZTF 2458378.6164 r 16.45 0.04
P48+ZTF 2458378.6437 r 16.46 0.05
P48+ZTF 2458378.665 g 16.33 0.03
P48+ZTF 2458378.665 g 16.33 0.03
P48+ZTF 2458378.6844 g 16.32 0.03
P60+SEDM 2458378.693 r 16.41 0.01
P48+ZTF 2458378.7039 g 16.32 0.03
P48+ZTF 2458378.7158 r 16.47 0.03
P48+ZTF 2458379.6623 g 16.44 0.04
P48+ZTF 2458379.6823 g 16.43 0.03
P48+ZTF 2458379.6823 g 16.43 0.03
P48+ZTF 2458379.6977 g 16.44 0.03
P48+ZTF 2458379.7176 r 16.51 0.04
P48+ZTF 2458379.7409 r 16.52 0.04
P48+ZTF 2458379.7577 r 16.52 0.03
P48+ZTF 2458380.6214 g 16.63 0.04
P48+ZTF 2458380.6251 g 16.66 0.04
P48+ZTF 2458380.6778 g 16.56 0.03
P48+ZTF 2458380.6778 g 16.56 0.03
P48+ZTF 2458381.6238 r 16.58 0.04
P48+ZTF 2458381.6289 r 16.59 0.04
P48+ZTF 2458381.659 r 16.59 0.04
P48+ZTF 2458381.6837 g 16.69 0.04
P48+ZTF 2458381.7053 g 16.69 0.05
P48+ZTF 2458381.7122 g 16.71 0.04
P48+ZTF 2458383.6141 r 16.72 0.05
P48+ZTF 2458383.6141 r 16.72 0.05
P48+ZTF 2458383.6342 r 16.68 0.03
P48+ZTF 2458383.6555 r 16.7 0.04
P48+ZTF 2458383.6829 g 17.05 0.06
P48+ZTF 2458383.6829 g 17.05 0.06
P48+ZTF 2458383.6838 g 17.05 0.04
P48+ZTF 2458383.6838 g 17.05 0.04
P48+ZTF 2458383.705 g 17.01 0.05
P48+ZTF 2458383.7143 g 17.05 0.05
P48+ZTF 2458383.7143 g 17.05 0.05
P48+ZTF 2458384.6451 r 16.8 0.05
P48+ZTF 2458384.6525 r 16.8 0.05
P48+ZTF 2458384.6741 r 16.8 0.04
P48+ZTF 2458384.717 g 17.26 0.06
P48+ZTF 2458384.717 g 17.26 0.06
P48+ZTF 2458384.7384 g 17.24 0.05
P48+ZTF 2458385.6151 g 17.45 0.05
P48+ZTF 2458385.633 g 17.45 0.04
P48+ZTF 2458385.633 g 17.45 0.04
P48+ZTF 2458385.6622 g 17.46 0.05
P48+ZTF 2458385.6622 g 17.46 0.05
P48+ZTF 2458385.6844 r 16.92 0.04
P48+ZTF 2458385.6844 r 16.92 0.04
P48+ZTF 2458385.6919 r 16.92 0.04
P48+ZTF 2458385.6919 r 16.92 0.04
P48+ZTF 2458385.7117 r 16.93 0.04
P48+ZTF 2458385.7117 r 16.93 0.04
P48+ZTF 2458386.6167 g 17.62 0.07
P48+ZTF 2458386.6242 g 17.67 0.06
P48+ZTF 2458386.6242 g 17.67 0.06
P48+ZTF 2458386.6404 g 17.65 0.06
P48+ZTF 2458386.6546 g 17.6 0.06
P48+ZTF 2458386.6994 r 17.02 0.05
P48+ZTF 2458386.6994 r 17.02 0.04
P48+ZTF 2458386.7013 r 17.04 0.05
P48+ZTF 2458386.7158 r 17.04 0.04
P48+ZTF 2458386.7377 r 17.0 0.05
P48+ZTF 2458387.6227 r 17.14 0.04
P48+ZTF 2458387.6227 r 17.14 0.04
P48+ZTF 2458387.6399 r 17.14 0.05
P48+ZTF 2458387.6541 r 17.15 0.04
P48+ZTF 2458387.6541 r 17.15 0.04
P48+ZTF 2458387.6822 g 17.85 0.08
P48+ZTF 2458387.6822 g 17.85 0.08
P48+ZTF 2458387.7041 g 17.83 0.1
P48+ZTF 2458387.7041 g 17.83 0.1
P48+ZTF 2458387.7232 g 17.88 0.09
P48+ZTF 2458387.7232 g 17.88 0.09
P60+SEDM 2458388.6124 r 17.22 0.02
P48+ZTF 2458388.6154 g 18.04 0.06
P48+ZTF 2458388.6154 g 18.04 0.06
P48+ZTF 2458388.6396 g 17.99 0.07
P48+ZTF 2458388.6396 g 17.99 0.07
P48+ZTF 2458388.6542 g 18.04 0.06
P48+ZTF 2458388.6542 g 18.04 0.06
P48+ZTF 2458388.6834 r 17.3 0.06
P48+ZTF 2458388.6936 r 17.3 0.05
P48+ZTF 2458388.7203 r 17.25 0.06
P48+ZTF 2458389.6156 r 17.39 0.06
P48+ZTF 2458389.6227 r 17.4 0.05
P48+ZTF 2458389.6317 g 18.2 0.06
P48+ZTF 2458389.6317 g 18.2 0.06
P48+ZTF 2458389.6416 g 18.2 0.06
P48+ZTF 2458389.6416 g 18.2 0.06
P48+ZTF 2458389.6804 g 18.21 0.08
P48+ZTF 2458389.6804 g 18.21 0.08
P48+ZTF 2458389.6947 g 18.21 0.09
P48+ZTF 2458389.6947 g 18.21 0.09
P48+ZTF 2458389.7166 r 17.41 0.05
P48+ZTF 2458389.7476 r 17.43 0.04
P48+ZTF 2458390.6228 g 18.43 0.06
P48+ZTF 2458390.6228 g 18.43 0.06
P48+ZTF 2458390.6326 g 18.4 0.06
P48+ZTF 2458390.6326 g 18.4 0.06
P48+ZTF 2458390.6797 r 17.55 0.04
P48+ZTF 2458390.7209 r 17.56 0.07
P48+ZTF 2458390.7347 r 17.53 0.05
P48+ZTF 2458399.5989 g 19.4 0.19
P48+ZTF 2458399.5989 g 19.4 0.19
P48+ZTF 2458400.6307 g 19.46 0.13
P48+ZTF 2458400.6638 r 18.68 0.11
P48+ZTF 2458400.6756 r 18.72 0.1
P48+ZTF 2458400.6756 r 18.72 0.1
P48+ZTF 2458400.6987 r 18.65 0.14
P60+SEDM 2458415.6169 r 19.62 0.1
P60+SEDM 2458415.6196 g 20.24 0.2
P60+SEDM 2458415.6223 i 19.39 0.06
P60+SEDM 2458415.625 u 99.0 99.0
P60+SEDM 2458420.593 r 19.74 0.03
P60+SEDM 2458420.5958 g 20.74 0.06
P60+SEDM 2458420.5984 i 19.53 0.03
P60+SEDM 2458420.6011 r 19.76 0.04
P60+SEDM 2458420.6038 g 20.9 0.08
P60+SEDM 2458423.584 r 19.78 0.1
P60+SEDM 2458423.5867 g 99.0 99.0
P60+SEDM 2458423.5894 i 19.67 0.13
P60+SEDM 2458429.5848 r 20.03 0.06
P60+SEDM 2458429.5875 g 21.32 0.11
P60+SEDM 2458429.5902 i 19.8 0.04
LT 2458371.3802 u 16.059192 0.004411
LT 2458372.3561 u 15.703731 0.003531
LT 2458373.3944 u 15.793211 0.006017
LT 2458380.3607 u 17.124085 0.017388
LT 2458380.3612 u 17.119128 0.021821
LT 2458381.3403 u 17.486332 0.029052
LT 2458381.3409 u 17.589262 0.040855
LT 2458382.3446 u nan 0.043492
LT 2458382.3451 u 17.971586 0.037448
LT 2458383.3399 u 18.270393 0.060995
LT 2458383.3404 u 18.270302 0.05595
LT 2458384.34 u 18.711118 0.081737
LT 2458384.3405 u 18.858779 0.097307
LT 2458385.3384 u nan 0.218627
LT 2458385.339 u 18.887386 0.112624
LT 2458386.3369 u 19.159561 0.174313
LT 2458386.3375 u nan 0.206369
LT 2458388.3375 u 20.072158 0.216114
LT 2458388.338 u 19.911065 0.283587
LT 2458389.3402 u nan 0.239589
LT 2458389.3407 u nan 0.160995
LT 2458390.3678 u nan 0.262017
LT 2458390.3683 u nan 0.222627
