READ TERR 1 2
NO	NO	NO	NO	NO	NO
!Time	Poserr	Negerr	Flux	PosErr	NegErr
!XRT wt mode data
116.948961	1.149706	-1.301920	9.935386795879e-10	1.48107979874456e-10	-1.48107979874456e-10
119.949644	1.700121	-1.850977	7.10462073538834e-10	1.05909420369045e-10	-1.05909420369045e-10
123.201061	1.309537	-1.551296	9.15054396384056e-10	1.36408240782146e-10	-1.36408240782146e-10
126.001032	1.687064	-1.490435	8.32155676557119e-10	1.24050470705086e-10	-1.24050470705086e-10
128.940346	1.208280	-1.252250	1.05498691237465e-09	1.57268154171e-10	-1.57268154171e-10
131.491460	1.019795	-1.342834	1.06874135029921e-09	1.61193910588203e-10	-1.61193910588203e-10
134.343890	1.645548	-1.832635	7.16589094756376e-10	1.06822812096952e-10	-1.06822812096952e-10
137.785861	1.667522	-1.796424	7.0480558035632e-10	1.06302920415214e-10	-1.06302920415214e-10
141.239837	1.415967	-1.786453	7.87062515611426e-10	1.17328332130175e-10	-1.17328332130175e-10
143.883494	1.357347	-1.227691	9.72293135031881e-10	1.44940901783765e-10	-1.44940901783765e-10
146.893210	1.658571	-1.652368	7.46671451965413e-10	1.11307213777398e-10	-1.11307213777398e-10
150.230737	1.450516	-1.678956	7.72369779902197e-10	1.17874663685257e-10	-1.17874663685257e-10
153.714241	2.005614	-2.032988	6.11896628124423e-10	9.22898735826782e-11	-9.22898735826782e-11
157.812644	1.810581	-2.092789	6.34323822214264e-10	9.56724451788428e-11	-9.56724451788428e-11
161.574095	1.651842	-1.950871	6.8008636124456e-10	1.02574662395477e-10	-1.02574662395477e-10
164.982072	1.537019	-1.756135	7.37279279454101e-10	1.11200798680449e-10	-1.11200798680449e-10
168.472787	1.880300	-1.953696	6.42377182574697e-10	9.57599476804621e-11	-9.57599476804621e-11
172.079813	1.692730	-1.726725	7.23568694102887e-10	1.09132906202182e-10	-1.09132906202182e-10
175.705478	1.938428	-1.932935	6.54205169236795e-10	9.75231779479791e-11	-9.75231779479791e-11
179.142875	1.906267	-1.498969	7.49348847887326e-10	1.13021200954021e-10	-1.13021200954021e-10
182.755227	1.453601	-1.706085	5.4543270701084e-10	1.01348600025527e-10	-1.01348600025527e-10
185.709733	1.664153	-1.500905	5.44401235965329e-10	1.01156899453545e-10	-1.01156899453545e-10
189.343539	1.330614	-1.969653	4.96559649726197e-10	9.39224452308524e-11	-9.39224452308524e-11
191.971043	1.345108	-1.296891	9.34878021667907e-10	1.39363368278726e-10	-1.39363368278726e-10
195.241199	1.880472	-1.925048	6.15459226005297e-10	9.73605227052841e-11	-9.73605227052841e-11
198.964690	1.304234	-1.843019	5.18284817242199e-10	9.63041575220613e-11	-9.63041575220613e-11
202.068607	1.726527	-1.799683	7.09791802077837e-10	1.05809525602471e-10	-1.05809525602471e-10
205.475999	2.711787	-1.680865	5.49503461467082e-10	8.47901955867194e-11	-8.47901955867194e-11
210.193339	1.855122	-2.005552	6.95490500090449e-10	1.0489795972462e-10	-1.0489795972462e-10
213.983932	1.873622	-1.935472	7.09048886008146e-10	1.05698785459443e-10	-1.05698785459443e-10
217.815061	2.130898	-1.957508	6.15078040434855e-10	9.27697193079204e-11	-9.27697193079204e-11
221.454577	1.852128	-1.508619	4.8685297752106e-10	8.88867708859129e-11	-8.88867708859129e-11
225.492119	2.324646	-2.185414	5.33298168937435e-10	8.23611601482229e-11	-8.23611601482229e-11
229.499621	2.097770	-1.682856	4.85866098849312e-10	8.59629207907043e-11	-8.59629207907043e-11
233.172574	1.780239	-1.575184	5.00460196737643e-10	9.13710912778011e-11	-9.13710912778011e-11
236.838987	1.782354	-1.886174	4.61602457097052e-10	8.42766777085073e-11	-8.42766777085073e-11
