READ TERR 1 2
NO	NO	NO	NO	NO	NO
!Time	Poserr	Negerr	Flux	PosErr	NegErr
!XRT wt mode data
140.293032	0.358612	-0.336394	4.29029142948688e-09	6.45506300435299e-10	-6.45506300435299e-10
141.006939	0.383054	-0.355295	4.1007012401413e-09	6.16981024125123e-10	-6.16981024125123e-10
141.723679	0.289012	-0.333686	4.93619946775628e-09	7.42687952300001e-10	-7.42687952300001e-10
142.406112	0.314660	-0.393421	4.41690321388987e-09	6.58433065969398e-10	-6.58433065969398e-10
143.253746	0.440204	-0.532974	3.14985356919352e-09	4.78354074484371e-10	-4.78354074484371e-10
144.115690	0.345068	-0.421739	4.04373902648753e-09	6.02805020438628e-10	-6.02805020438628e-10
144.945875	0.441809	-0.485118	3.37059062096361e-09	5.0245799446547e-10	-5.0245799446547e-10
145.753335	0.431386	-0.365651	3.97540551892333e-09	5.92618448230508e-10	-5.92618448230508e-10
146.661570	0.635106	-0.476850	2.87368275788572e-09	4.28383328989466e-10	-4.28383328989466e-10
147.792991	0.350552	-0.496315	3.6446169555893e-09	5.43307398027909e-10	-5.43307398027909e-10
148.583710	0.559693	-0.440168	2.96615928456156e-09	4.50457229867747e-10	-4.50457229867747e-10
149.451793	0.312521	-0.308389	4.81665361280748e-09	7.24701391187076e-10	-7.24701391187076e-10
150.386125	0.668040	-0.621811	2.33891025020235e-09	3.48664185803857e-10	-3.48664185803857e-10
151.585552	0.568109	-0.531387	2.74170217550056e-09	4.08708836995779e-10	-4.08708836995779e-10
152.778894	0.566775	-0.625233	2.52621301372446e-09	3.76585628291828e-10	-3.76585628291828e-10
154.005538	0.651351	-0.659870	2.3096189033489e-09	3.4429766954365e-10	-3.4429766954365e-10
155.034598	0.389088	-0.377709	3.96802090276641e-09	5.91517619115168e-10	-5.91517619115168e-10
155.908491	0.413648	-0.484805	3.3233540652308e-09	5.04702772155483e-10	-5.04702772155483e-10
156.942745	0.514473	-0.620606	2.65839809860539e-09	3.96290586574199e-10	-3.96290586574199e-10
157.882495	0.492744	-0.425277	3.25446905799077e-09	4.89659055646093e-10	-4.89659055646093e-10
159.003742	0.645356	-0.628503	2.36346657604793e-09	3.52324773532891e-10	-3.52324773532891e-10
160.344336	0.735169	-0.695238	2.08744372300161e-09	3.14071444946406e-10	-3.14071444946406e-10
161.551448	0.435411	-0.471943	3.2901228819957e-09	4.95023467819986e-10	-4.95023467819986e-10
162.618634	0.545996	-0.631775	2.56935204615347e-09	3.83016388421458e-10	-3.83016388421458e-10
163.794357	0.697482	-0.629726	2.28752360151925e-09	3.44174924861849e-10	-3.44174924861849e-10
165.347654	0.535468	-0.855814	2.19576111785634e-09	3.30368573312265e-10	-3.30368573312265e-10
166.688344	0.692794	-0.805222	2.03581696877029e-09	3.06303782534316e-10	-3.06303782534316e-10
168.078508	0.791758	-0.697371	2.06000005021601e-09	3.07086645094495e-10	-3.07086645094495e-10
169.700770	0.528747	-0.830504	2.24585021800691e-09	3.347915797324e-10	-3.347915797324e-10
171.072952	0.592312	-0.843435	2.11731102328814e-09	3.15630070000113e-10	-3.15630070000113e-10
172.676309	0.727149	-1.011045	1.73626280352942e-09	2.61233659815313e-10	-2.61233659815313e-10
174.064461	0.500763	-0.661003	2.60196631837612e-09	3.91485177637592e-10	-3.91485177637592e-10
175.192395	0.660897	-0.627172	2.3691922443053e-09	3.53178338121143e-10	-3.53178338121143e-10
176.814743	0.855037	-0.961451	1.67072953801381e-09	2.51373681030028e-10	-2.51373681030028e-10
178.499306	0.837502	-0.829526	1.8404863130863e-09	2.74363525016434e-10	-2.74363525016434e-10
180.131102	0.657478	-0.794294	2.10504852755907e-09	3.16720200896944e-10	-3.16720200896944e-10
