READ TERR 1 2
NO	NO	NO	NO	NO	NO
!Time	Poserr	Negerr	Flux	PosErr	NegErr
!XRT wtslew mode data
73.521565634009	0.80882036577357	-0.721182619433037	1.69943744097508e-09	4.23914176958975e-10	-4.23914176958975e-10
74.8611299811259	0.433517014044668	-0.530743981343321	2.75824773238709e-09	6.8802786682924e-10	-6.8802786682924e-10
75.8897777525117	0.632486268034285	-0.595130757341124	1.96329703634328e-09	4.89732323897681e-10	-4.89732323897681e-10
77.2558360575739	0.92638692159791	-0.733572037027884	1.46023613427035e-09	3.64246887881792e-10	-3.64246887881792e-10
79.1273450389786	0.77161395885075	-0.945122059806849	1.42391111388549e-09	3.55185835825278e-10	-3.55185835825278e-10
81.5934277868619	1.69750123258922	-1.69446878903248	1.41644629722267e-09	3.21841743959961e-10	-3.21841743959961e-10
NO	NO	NO	NO	NO	NO
!Time	Poserr	Negerr	Flux	PosErr	NegErr
!XRT wt mode data
90.968902	0.698158	-0.773145	1.92567530502185e-09	2.87062742452056e-10	-2.87062742452056e-10
92.159086	0.764042	-0.492027	2.26486673348461e-09	3.37626397616949e-10	-3.37626397616949e-10
93.621250	0.643344	-0.698122	1.93174638190911e-09	2.92756923968088e-10	-2.92756923968088e-10
94.832520	0.528003	-0.567926	2.24174761179705e-09	3.34180022362824e-10	-3.34180022362824e-10
95.786438	0.445843	-0.425915	2.90137413781212e-09	4.32511330568461e-10	-4.32511330568461e-10
96.760470	0.485917	-0.528190	2.58901671540629e-09	3.85947828614552e-10	-3.85947828614552e-10
97.834541	0.447290	-0.588155	2.48993819666629e-09	3.77351084682687e-10	-3.77351084682687e-10
98.783038	0.541356	-0.501207	2.41481156910971e-09	3.65965667081422e-10	-3.65965667081422e-10
99.774907	0.362531	-0.450513	3.16511995760773e-09	4.87721240556253e-10	-4.87721240556253e-10
100.630323	0.345072	-0.492885	3.37426903296733e-09	5.03006337391643e-10	-5.03006337391643e-10
101.266160	0.376410	-0.290765	4.3341173269691e-09	6.5683716464356e-10	-6.5683716464356e-10
102.109119	0.440797	-0.466549	3.06562001592333e-09	4.64595920314161e-10	-4.64595920314161e-10
102.910304	0.303221	-0.360388	4.09562849411174e-09	6.10540256824408e-10	-6.10540256824408e-10
103.580428	0.318063	-0.366903	3.74525404908397e-09	5.77115503290294e-10	-5.77115503290294e-10
104.421012	0.493364	-0.522521	2.44358431524933e-09	3.70326168896582e-10	-3.70326168896582e-10
105.325516	0.325422	-0.411140	3.58885656898384e-09	5.34995158404626e-10	-5.34995158404626e-10
105.957744	0.276749	-0.306806	4.86185295882532e-09	7.36815701400868e-10	-7.36815701400868e-10
106.555824	0.306691	-0.321330	4.94492733432321e-09	7.37146280972683e-10	-7.37146280972683e-10
107.210842	0.406018	-0.348327	4.16544297904041e-09	6.31274546270879e-10	-6.31274546270879e-10
107.927716	0.254908	-0.310856	5.78335546562204e-09	8.62131735743985e-10	-8.62131735743985e-10
108.472582	0.282900	-0.289958	5.79307364448111e-09	8.63580438556014e-10	-8.63580438556014e-10
108.994127	0.346679	-0.238644	5.44887943631452e-09	8.12271009883696e-10	-8.12271009883696e-10
109.638896	0.315710	-0.298090	4.89282411797443e-09	7.41509426424549e-10	-7.41509426424549e-10
110.217432	0.262019	-0.262826	5.57456059078523e-09	8.31006443458373e-10	-8.31006443458373e-10
110.788448	0.391981	-0.308997	4.06821822401559e-09	6.06454150531318e-10	-6.06454150531318e-10
111.502267	0.284842	-0.321839	4.55719713863979e-09	6.79346826855764e-10	-6.79346826855764e-10
112.249953	0.444499	-0.462844	2.98072927554151e-09	4.44340882362862e-10	-4.44340882362862e-10
113.091927	0.422705	-0.397475	3.15999817352636e-09	4.86932009905541e-10	-4.86932009905541e-10
113.889339	0.390320	-0.374708	3.47304485093705e-09	5.17730975514485e-10	-5.17730975514485e-10
114.696804	0.289167	-0.417145	3.80827708700712e-09	5.67704427379504e-10	-5.67704427379504e-10
115.276567	0.387238	-0.290596	3.99960819474037e-09	5.96226363771765e-10	-5.96226363771765e-10
116.003980	0.300313	-0.340174	4.03331391054437e-09	6.11250340614825e-10	-6.11250340614825e-10
116.676438	0.364416	-0.372145	3.43019552074066e-09	5.11343351565237e-10	-5.11343351565237e-10
117.431206	0.422692	-0.390352	3.0404321957203e-09	4.53240871501653e-10	-4.53240871501653e-10
118.255550	0.422087	-0.401651	2.90054901612847e-09	4.39579336834309e-10	-4.39579336834309e-10
119.115487	0.453485	-0.437850	2.75896665924653e-09	4.18122501446092e-10	-4.18122501446092e-10
119.916297	0.337632	-0.347325	3.98210718536458e-09	6.06465849623499e-10	-6.06465849623499e-10
120.725370	0.359414	-0.471441	3.57937461016249e-09	5.42455630698755e-10	-5.42455630698755e-10
121.577800	0.585124	-0.493015	2.56031326205305e-09	3.945250211522e-10	-3.945250211522e-10
122.606422	0.495885	-0.443497	2.69833082938047e-09	4.08933115839662e-10	-4.08933115839662e-10
