READ TERR 1 2
NO	NO	NO	NO	NO	NO
!Time	Poserr	Negerr	Flux	PosErr	NegErr
!XRT wtslew mode data
128.254954888212	0.508397105452076	-0.776124865502894	3.74742945848349e-09	9.34773140983269e-10	-9.34773140983269e-10
129.464328530344	0.647741450857154	-0.70097653667986	3.63407626775205e-09	9.06497887422288e-10	-9.06497887422288e-10
130.661902407792	0.661711610273557	-0.54983242659145	3.68542252102218e-09	9.19305893277714e-10	-9.19305893277714e-10
132.117602398971	0.716480578903855	-0.793988380905148	2.95530343724901e-09	7.37182195742747e-10	-7.37182195742747e-10
133.595292024599	0.83637895595723	-0.761209046723764	2.81492615608151e-09	7.02165949675037e-10	-7.02165949675037e-10
135.143275216317	0.750977756388636	-0.711604235761371	3.11817737101494e-09	7.77810092901963e-10	-7.77810092901963e-10
136.479472478457	0.707297543458481	-0.58521950575053	3.83621133649977e-09	9.46179057902152e-10	-9.46179057902152e-10
NO	NO	NO	NO	NO	NO
!Time	Poserr	Negerr	Flux	PosErr	NegErr
!XRT wt mode data
144.813196	0.959056	-0.814739	2.57938793271298e-09	4.01474218781966e-10	-4.01474218781966e-10
146.488916	0.623024	-0.716664	3.46072902436564e-09	5.30895080544059e-10	-5.30895080544059e-10
147.625032	0.686044	-0.513092	4.0338798566606e-09	6.01335307334282e-10	-6.01335307334282e-10
148.977461	0.566570	-0.666385	4.07206994292353e-09	6.07028377295724e-10	-6.07028377295724e-10
150.039746	0.626917	-0.495716	4.6049117286803e-09	6.8645969469653e-10	-6.8645969469653e-10
151.339706	0.579467	-0.673043	4.22707577911714e-09	6.39193768726708e-10	-6.39193768726708e-10
152.709411	0.768283	-0.790238	3.56408639906753e-09	5.31302630136962e-10	-5.31302630136962e-10
154.108920	0.633753	-0.631226	4.33953687837023e-09	6.46900012767979e-10	-6.46900012767979e-10
155.501982	0.633752	-0.759310	3.86971636348114e-09	5.76863225945581e-10	-5.76863225945581e-10
156.943170	0.747510	-0.807436	3.40178433295399e-09	5.0710807470463e-10	-5.0710807470463e-10
158.348214	0.675014	-0.657534	3.85497470930939e-09	5.82926805014866e-10	-5.82926805014866e-10
159.964990	0.897860	-0.941763	2.73503033973222e-09	4.135753720658e-10	-4.135753720658e-10
161.601984	0.789158	-0.739133	3.45273731599672e-09	5.22102778506646e-10	-5.22102778506646e-10
163.337136	0.680133	-0.945994	3.37333390454766e-09	5.1748811792826e-10	-5.1748811792826e-10
164.628513	0.692861	-0.611244	4.41494374096262e-09	6.67602091029401e-10	-6.67602091029401e-10
166.028711	0.673271	-0.707336	4.33933549264691e-09	6.56169032883185e-10	-6.56169032883185e-10
167.583046	0.730830	-0.881064	3.88326078792304e-09	5.87204012203036e-10	-5.87204012203036e-10
169.081233	0.664846	-0.767357	4.29022511363779e-09	6.48742857807665e-10	-6.48742857807665e-10
170.559805	0.824856	-0.813725	3.58091283262895e-09	5.493318499369e-10	-5.493318499369e-10
172.001002	0.607703	-0.616341	4.69210345274161e-09	7.09512566373729e-10	-7.09512566373729e-10
173.533211	0.801268	-0.924507	3.24696015810184e-09	4.84028299032883e-10	-4.84028299032883e-10
174.947114	0.574036	-0.612635	4.57195409853728e-09	6.81546669934913e-10	-6.81546669934913e-10
176.273459	0.879148	-0.752309	3.23972884178378e-09	4.82950245598291e-10	-4.82950245598291e-10
177.788945	0.582368	-0.636339	4.18387346576924e-09	6.41829418098293e-10	-6.41829418098293e-10
179.056214	0.580062	-0.684902	4.03483165445774e-09	6.10123659418403e-10	-6.10123659418403e-10
180.304904	0.526949	-0.668628	4.07832829936603e-09	6.44133295716405e-10	-6.44133295716405e-10
181.640166	0.698629	-0.808312	3.35215833273621e-09	4.99710259588911e-10	-4.99710259588911e-10
182.855144	0.417695	-0.516349	5.4370779318357e-09	8.01653351932704e-10	-8.01653351932704e-10
183.765295	0.446911	-0.492456	5.21818545098587e-09	7.77881117984421e-10	-7.77881117984421e-10
184.940773	0.657394	-0.728566	3.43543931979993e-09	5.19487054951062e-10	-5.19487054951062e-10
186.284842	0.724177	-0.686675	3.30939396258934e-09	5.00427273864947e-10	-5.00427273864947e-10
187.811838	0.648955	-0.802818	3.19524756744659e-09	4.90168758057515e-10	-4.90168758057515e-10
188.916846	0.479751	-0.456053	5.24791425247218e-09	7.82312876061175e-10	-7.82312876061175e-10
190.048072	0.800300	-0.651476	3.42437691802197e-09	5.25318410011009e-10	-5.25318410011009e-10
191.339537	0.602980	-0.491165	4.78043994039093e-09	7.22870266701024e-10	-7.22870266701024e-10
192.686780	1.017078	-0.744263	3.05896238244295e-09	4.69261809428269e-10	-4.69261809428269e-10
194.588812	0.876389	-0.884953	3.16133009234717e-09	4.78037872987973e-10	-4.78037872987973e-10
196.116223	0.571242	-0.651023	4.5942279052072e-09	6.84867047296747e-10	-6.84867047296747e-10
197.287457	0.634726	-0.599992	4.48505343117911e-09	6.78203641987125e-10	-6.78203641987125e-10
