READ TERR 1 2
NO	NO	NO	NO	NO	NO
!Time	Poserr	Negerr	Flux	PosErr	NegErr
!XRT pc mode data
151.956952	34.668640	-35.536168	2.67420544996618e-11	6.10464983352544e-12	-6.10464983352544e-12
253.945729	73.089483	-67.320137	1.69721829256255e-11	3.74746002249881e-12	-3.74746002249881e-12
358.971772	45.790220	-31.936560	2.38336198523713e-11	5.3733491082583e-12	-5.3733491082583e-12
442.722619	44.780753	-37.960627	1.55783414318925e-11	3.44025542648035e-12	-3.44025542648035e-12
528.038824	47.220567	-40.535453	1.16168361635434e-11	2.63059703289035e-12	-2.63059703289035e-12
638.547348	59.570484	-63.287956	8.69685482042239e-12	1.96938181214588e-12	-1.96938181214588e-12
777.073433	53.932159	-78.955601	7.77590137537052e-12	1.75343175827424e-12	-1.75343175827424e-12
901.384307	72.538345	-70.378715	6.96884726814777e-12	1.58479111460248e-12	-1.58479111460248e-12
1046.380584	88.010388	-72.457932	4.54720423536488e-12	1.18730040923397e-12	-1.18730040923397e-12
1232.841351	82.076561	-98.450380	3.9808913201437e-12	1.05729201535149e-12	-1.05729201535149e-12
1418.371519	174.850772	-103.453608	2.72655715380117e-12	7.16025406688035e-13	-7.16025406688035e-13
7419.148853	5716.027031	-2620.191469	3.83593488439289e-13	9.23856583588519e-14	-9.23856583588519e-14
26950.436458	15110.317494	-10530.071566	1.32758233306081e-13	3.3329598657012e-14	-3.3329598657012e-14
64173.729606	35682.979477	-18924.521483	3.90784926751347e-14	2.31378797012394e-14	-2.31378797012394e-14
