READ TERR 1 2
NO	NO	NO	NO	NO	NO
!Time	Poserr	Negerr	Flux	PosErr	NegErr
!XRT wt mode data
144.961910	1.166313	-1.005988	7.09093762319283e-07	6.91973441315938e-08	-6.91973441315938e-08
147.088331	1.048530	-0.960107	8.02681082412902e-07	7.47782340876916e-08	-7.47782340876916e-08
149.238491	1.054680	-1.101631	7.57382348101532e-07	6.97810923459308e-08	-6.97810923459308e-08
151.701054	1.444061	-1.407883	5.30115677069649e-07	5.17817399310365e-08	-5.17817399310365e-08
154.448414	1.287120	-1.303299	5.64167831111204e-07	5.33493168305904e-08	-5.33493168305904e-08
157.380069	1.904811	-1.644535	3.89268797738512e-07	3.82532776578474e-08	-3.82532776578474e-08
160.705924	1.505628	-1.421044	4.96301114813328e-07	4.72120831569456e-08	-4.72120831569456e-08
163.634885	1.586943	-1.423333	4.77451388147113e-07	4.57944692034056e-08	-4.57944692034056e-08
166.389658	1.436800	-1.167831	3.49365716376575e-07	4.30062829860111e-08	-4.30062829860111e-08
169.124209	1.134169	-1.297751	3.78799465577426e-07	4.57457250433253e-08	-4.57457250433253e-08
171.620451	1.491658	-1.362072	3.23148107947411e-07	3.87984578841578e-08	-3.87984578841578e-08
174.764830	1.519453	-1.652722	2.8189122001e-07	3.47518924894398e-08	-3.47518924894398e-08
177.880084	1.483859	-1.595800	2.86316508124625e-07	3.52974474323921e-08	-3.52974474323921e-08
181.295178	1.881443	-1.931234	2.22195678301641e-07	2.81020476348167e-08	-2.81020476348167e-08
185.029216	1.723459	-1.852596	2.45379209656703e-07	2.95900426764212e-08	-2.95900426764212e-08
188.534583	1.788776	-1.781908	2.47356469863153e-07	2.93997350519219e-08	-2.93997350519219e-08
192.200654	1.704080	-1.877295	2.52503103926504e-07	2.91302942979493e-08	-2.91302942979493e-08
194.736077	0.668468	-0.831342	2.60526876336779e-07	3.05931970454776e-08	-3.05931970454776e-08
196.100340	0.670579	-0.695796	2.94423516085767e-07	3.24637972556367e-08	-3.24637972556367e-08
197.518414	0.866174	-0.747496	2.4013882887757e-07	2.79718013652047e-08	-2.79718013652047e-08
199.206955	0.832206	-0.822367	2.41080611845675e-07	2.80815019213788e-08	-2.80815019213788e-08
201.066010	0.862591	-1.026849	2.16191369713508e-07	2.51152098331683e-08	-2.51152098331683e-08
202.922352	0.909922	-0.993751	2.09854275188826e-07	2.41853730606052e-08	-2.41853730606052e-08
204.778453	0.792019	-0.946179	2.07018576426687e-07	2.40977079249469e-08	-2.40977079249469e-08
206.351453	0.770415	-0.780981	2.31229524370517e-07	2.66105584534147e-08	-2.66105584534147e-08
207.857426	0.817608	-0.735558	2.34369213299751e-07	2.67386204620046e-08	-2.67386204620046e-08
209.587801	0.837896	-0.912767	2.02403557555314e-07	2.3988256978839e-08	-2.3988256978839e-08
211.231767	0.844950	-0.806071	2.24557526985818e-07	2.53266189784162e-08	-2.53266189784162e-08
212.977273	0.901706	-0.900556	2.04470791906515e-07	2.30611456898215e-08	-2.30611456898215e-08
214.945443	1.008021	-1.066464	1.74696273255668e-07	1.99306781193673e-08	-1.99306781193673e-08
217.080886	1.315293	-1.127422	1.38614062811511e-07	1.69823582962013e-08	-1.69823582962013e-08
219.542696	1.196597	-1.146517	1.47891492130403e-07	1.76325379836708e-08	-1.76325379836708e-08
221.743395	1.073906	-1.004102	1.68929261309288e-07	1.98436839307433e-08	-1.98436839307433e-08
223.854989	0.844649	-1.037688	1.95014735475875e-07	2.19204643752056e-08	-2.19204643752056e-08
225.670687	0.879250	-0.971049	2.00314787572484e-07	2.21483689836253e-08	-2.21483689836253e-08
227.416200	1.145898	-0.866262	1.76035192483535e-07	2.04366267295889e-08	-2.04366267295889e-08
