#GRB	Trigger
130930A	572489
130929A	572308
130925A	571830
130919A	571271
130913A	570531
130912A	570465
130907A	569992
130831B	568855
130831A	568849
130829A	568417
130822A	567163
130816B	566561
130816A	566545
130812A	566228
130807A	565651
130806A	565562
130803A	565263
130727A	564342
130725B	564028
130725A	563980
130722A	563213
130719A	562625
130716A	561974
130708A	560515
130701A	559482
130627B	559139
130627A	559132
130626A	559075
130625A	558982
#130623A	Ground Analysis
130615A	558271
130612A	557976
130610A	557845
130609B	557828
130609A	557782
130608A	557771
130606A	557589
130605A	557508
130604A	557354
130603B	557310
130603A	557274
130529A	556930
130528A	556870
130527A	556753
130521A	556344
130518B	556105
130518A	556113
130515A	555880
130514A	555821
130511A	555600
130508A	555413
130505A	555163
130504A	555096
130502A	554996
130427B	554635
130427A	554620
130420B	553996
130420A	553977
130419A	553918
130418A	553847
130408A	553132
130327A	552063
130315A	551126
130313A	550906
130306A	550457
130305A	550329
130216B	548918
130216A	548927
130215A	548760
130211A	548276
130206A	547918
130131B	547420
130131A	547407
130122A	546731
130102A	544784
121229A	544347
121226A	544027
121217A	542441
121212A	541371
121211A	541200
121209A	540964
121202A	540255
121201A	540178
121128A	539866
121125A	539563
121123A	539358
121117A	538696
121108A	537921
121102A	537266
121031A	537195
121028A	536897
121027A	536831
#121025A	MAXI
121024A	536580
121017A	536172
121014A	535960
121011A	535764
121001A	535026
120927A	534815
120923A	534402
120922A	534394
120918A	534015
120913B	533613
120913A	533568
120911A	533268
120909A	533060
120907A	532871
120819A	531428
120817B	531259
120817A	531267
120816A	531223
120815A	531003
120811C	530689
120811A	530581
120807A	530267
120805A	530031
120804A	529686
120803B	529606
120803A	529582
120802A	529486
120729A	529095
120728A	529021
120724A	528443
120722A	528195
120714B	526642
120714A	526593
120712A	526351
120711B	526270
120703A	525671
120701A	525477
120630A	525451
120624B	525068
120612A	524128
120521C	522656
120521B	522586
120521A	522578
120514A	522197
120422A	520658
120404A	519380
120403B	519256
120403A	519211
120401A	519043
120328A	518792
120327A	518731
120326A	518626
120324A	518507
120320A	518200
120312A	517566
120311B	517489
120311A	517469
120308A	517234
120305A	516997
#120302A	
120229A	516571
120224A	515976
120219A	515375
120218A	515277
120215A	515015
120213A	514767
120212A	514709
120211A	514586
120121A	512164
120119A	512035
120118B	512003
120116A	511866
120114A	511739
120106A	511235
120102A	510922
111229A	510736
111228A	510649
111225A	510341
111215A	509717
111212A	509543
111210A	509419
111209A	509336
111208A	509285
#111207A	
111204A	509018
111201A	508800
111129A	508712
#111126A	
111123A	508319
111121A	508161
111117A	507901
111109A	507342
111107A	507185
111103B	506903
111103A	506902
111029A	506519
111026A	506291
111022B	506074
111022A	506070
111020A	505926
111018A	505801
111016A	505646
111008A	505054
111005A	504779
110928A	504215
110921A	503652
110915A	503219
110827A	501520
110820A	501095
110818A	500914
110808A	458918
110801A	458521
110731A	458448
110726A	458059
110719A	457553
110715A	457330
110709B	456967
110709A	456939
110625A	456073
110610A	455155
110530A	454473
110521A	453788
110520A	453747
110519A	453628
110503A	452685
110422A	451901
110420B	451794
110420A	451757
110414A	451343
110412A	451191
110411A	451165
110407A	450884
110402A	450545
110328A	450158
#110319B	
110319A	449578
110318B	449549
110318A	449542
110315A	449399
110312A	449074
110305A	448229
110223B	446677
110223A	446674
110213B	MAXI
110213A	445414
110212A	445321
110210A	445141
110208A	445038
110207A	444912
110205A	444643
110201A	444230
110128A	443861
110119A	442978
110112A	442039
110106B	441676
110106A	441664
110102A	441454
101225A	441015
101224A	440955
101219B	440635
101219A	440606
101213A	440285
101204A	439806
101201A	439595
101129A	439471
101117B	438675
101114A	438392
101030A	437408
101024A	437016
101023A	436981
101020A	436737
101017A	436429
101011A	436094
101008A	435903
100928A	435160
100924A	434843
100917A	434360
100915A	434178
100906A	433509
100905A	433442
100904A	433273
100902A	433160
100901A	433065
100823A	432420
100816A	431764
100814A	431605
100807A	431128
100805A	430957
100802A	430603
100728B	430172
100728A	430151
100727A	430094
100725B	429969
100725A	429954
100724A	429868
100719A	429357
100704A	426722
100702A	426438
100628A	426114
100625A	425647
100621A	425151
100619A	424998
100615A	424733
100614A	424716
100606A	424031
100526B	423184
100526A	423181
100522A	422783
100514A	421962
100513A	421814
100508A	421386
100504A	421124
#100427A	
100425A	420398
100424A	420367
100423A	420247
100420A	419932
100418A	419797
100413B	419380
100413A	419404
100401A	417974
#100324A	
100316D	416135
100316C	416115
100316B	416103
100316A	416076
100305A	414905
100302A	414592
100224A	413805
100219A	412982
100216A	412522
100213B	412220
100213A	412217
100212A	412081
100206A	411412
100205A	411248
#100203A	
100119A	383063
100117A	382941
#100115A	
100111A	382399
091221	380311
091208B	378559
091208A	378554
091130B	377487
091127	377179
091112	375659
091109B	375409
091109A	375246
091104	374875
091102	374598
091029	374210
091026	373871
091024	373674
091020	373458
091018	373172
090929B	371050
090927	370846
090926B	370791
090916	362818
#090915	
090912	362633
090904B	361831
090904A	361830
090831C	361489
090827	361029
090815C	360068
090814A	359951
090813	359884
090812	359711
090809	359530
090807	359378
090728	358574
090727	358520
090726	358422
090720	357811
090715B	357512
090715A	357498
090712	357072
090709B	356912
090709A	356890
090708	356776
090628	355942
090621B	355359
090621A	355303
090618	355083
090607	354299
090531B	353728
090531A	353627
090530	353567
090529	353540
090520	352671
090519	352648
090518	352420
090516A	352190
090515	352108
090510	351588
090509	351525
090429B	350854
090429A	350853
090426	350479
090424	350311
090423	350184
090422	349931
090419	349592
#090418B	BATSS
090418A	349510
